Cluster,Age,k,N,Nsys,Z,bin_frac,Mc,Mdot,Lw,SNe,WR,WR2
DBSB_101,11.2,75915.3,11216,1122,0.0142,0.3,5655.0,1.16e-08,1.07e+27,5,0,0
DBSB_104,26.9,2864.5,423,42,0.0142,0.3,207.5,6.90e-10,2.81e+25,5,0,0
DBSB_3,18.22,21347.1,3154,315,0.0142,0.3,1558.5,3.62e-08,6.95e+27,0,0,0
DC_5,18.46,399096.7,58963,5896,0.0142,0.3,36453.5,1.22e-04,2.90e+31,0,0,0
Dias_5,9.5,22473.0,3320,332,0.0165,0.51246,1833.5,1.25e-08,1.63e+27,0,0,0
Dolidze_16,24.25,16322.9,2412,241,0.0142,0.3,1225.5,2.91e-06,8.10e+26,0,0,0
Dolidze_3,10.97,20162.4,2979,298,0.0145,0.68033,1953.0,1.64e-07,2.38e+28,0,0,0
Dolidze_53,6.9,12648.6,1869,187,0.0142,0.3,1488.5,6.70e-07,1.60e+33,10,5,0
Dolidze_8,15.5,8695.4,1285,128,0.0142,0.3,777.0,3.48e-06,9.45e+26,0,0,0
FSR_0165,18.21,81438.2,12032,1203,0.0142,0.3,6409.5,3.41e-06,6.05e+33,35,10,0
FSR_0398,18.2,18378.2,2715,272,0.0127,0.73684,1546.0,4.20e-10,1.69e+25,0,0,0
FSR_0451,22.34,88042.8,13008,1301,0.0142,0.3,7889.0,1.03e-07,4.03e+32,60,20,5
FSR_0534,25.7,35154.2,5194,519,0.0142,0.3,3149.0,4.58e-08,4.23e+32,35,10,0
FSR_0551,13.5,13310.4,1966,197,0.0123,0.66102,950.0,6.55e-11,2.30e+24,0,0,0
FSR_0833,16.7,20073.7,2966,297,0.0142,0.3,1757.0,1.32e-08,3.74e+31,15,10,5
FSR_1117,15.5,5418.9,801,80,0.0142,0.3,319.0,1.20e-11,4.35e+23,0,0,0
FSR_1352,8.27,166896.5,24657,2466,0.0142,0.3,15072.0,3.82e-04,1.52e+31,0,0,0
Gulliver_10,9.3,5390.1,796,80,0.0142,0.3,481.5,4.38e-09,6.05e+26,0,0,0
Gulliver_2,6.6,27087.6,4002,400,0.0142,0.3,2365.5,2.63e-07,4.13e+28,0,0,0
Gulliver_9,17.8,12589.4,1860,186,0.0142,0.3,1258.5,1.19e-08,1.17e+27,15,5,0
Haffner_13,20.4,16749.7,2475,248,0.0125,0.39305,1361.5,2.68e-08,7.60e+31,10,15,5
Haffner_15,25.7,211158.7,31197,3120,0.0142,0.3,16987.0,4.79e-07,1.77e+33,135,30,5
Haffner_18,14.1,21011.6,3104,310,0.0142,0.3,1825.0,1.06e-08,9.50e+31,10,0,0
Hogg_15,9.07,157723.4,23302,2330,0.0142,0.3,14852.5,2.14e-05,4.24e+30,0,0,0
IC_1396,12.0,40175.7,5936,594,0.0142,0.3,3239.5,7.25e-08,2.05e+32,35,25,10
IC_1590,11.91,37548.8,5548,555,0.0106,0.78102,3392.0,4.51e-07,7.30e+28,0,0,0
IC_1805,7.6,63698.1,9411,941,0.0142,0.3,5184.0,2.75e-08,3.62e+27,0,0,0
IC_1848,15.8,91862.5,13572,1357,0.0142,0.3,7012.0,8.25e-05,2.11e+35,25,20,0
IC_2391,28.8,4385.8,648,65,0.0189,0.22491,406.0,6.65e-12,1.89e+28,10,5,0
IC_2395,20.4,47302.8,6989,699,0.0131,0.40443,3361.5,3.19e-09,9.00e+30,10,10,0
IC_2581,21.23,23699.5,3501,350,0.0156,0.52074,1733.5,3.50e-09,3.02e+26,0,0,0
